,Name,Link,Price
0,Lenovo IdeaTab,https://www.webscraper.io/test-sites/e-commerce/allinone/product/495,$69.99
1,IdeaTab A3500L,https://www.webscraper.io/test-sites/e-commerce/allinone/product/500,$88.99
2,Acer Iconia,https://www.webscraper.io/test-sites/e-commerce/allinone/product/496,$96.99
3,Galaxy Tab 3,https://www.webscraper.io/test-sites/e-commerce/allinone/product/503,$97.99
4,Iconia B1-730HD,https://www.webscraper.io/test-sites/e-commerce/allinone/product/512,$99.99
5,Memo Pad HD 7,https://www.webscraper.io/test-sites/e-commerce/allinone/product/508,$101.99
6,Asus MeMO Pad,https://www.webscraper.io/test-sites/e-commerce/allinone/product/497,$102.99
7,Amazon Kindle,https://www.webscraper.io/test-sites/e-commerce/allinone/product/498,$103.99
8,Galaxy Tab 3,https://www.webscraper.io/test-sites/e-commerce/allinone/product/507,$107.99
9,IdeaTab A8-50,https://www.webscraper.io/test-sites/e-commerce/allinone/product/513,$121.99
10,MeMO Pad 7,https://www.webscraper.io/test-sites/e-commerce/allinone/product/505,$130.99
11,IdeaTab A3500-H,https://www.webscraper.io/test-sites/e-commerce/allinone/product/502,$148.99
12,IdeaTab S5000,https://www.webscraper.io/test-sites/e-commerce/allinone/product/511,$172.99
13,Galaxy Tab 4,https://www.webscraper.io/test-sites/e-commerce/allinone/product/506,$233.99
14,Galaxy Tab,https://www.webscraper.io/test-sites/e-commerce/allinone/product/501,$251.99
15,MeMo PAD FHD 10,https://www.webscraper.io/test-sites/e-commerce/allinone/product/510,$320.99
16,Galaxy Note,https://www.webscraper.io/test-sites/e-commerce/allinone/product/514,$399.99
17,Galaxy Note,https://www.webscraper.io/test-sites/e-commerce/allinone/product/504,$489.99
18,iPad Mini Retina,https://www.webscraper.io/test-sites/e-commerce/allinone/product/499,$537.99
19,Galaxy Note 10.1,https://www.webscraper.io/test-sites/e-commerce/allinone/product/509,$587.99
20,Apple iPad Air,https://www.webscraper.io/test-sites/e-commerce/allinone/product/515,$603.99
